data,temp_media,temp_max,temp_min,precipitacao,umidade_relativa,radiacao_solar,evapotranspiracao,vento,ndvi,ph_solo,carbono_organico,argila,areia,altitude,latitude,longitude,id_fazenda
20170508,23.57,33.14,19.35,0.02,63.61,19.86,1.87,3.03,0.3877940732056815,66.9671333392767,230.1049188962959,220,593,442.0,-9.9,-39.0,BA_Canudos
20170509,26.08,33.01,21.0,0.0,66.04,15.81,1.56,3.13,0.38808515816420996,67.01543506105209,232.42901209472134,220,593,442.0,-9.9,-39.0,BA_Canudos
20170510,26.21,33.29,20.89,0.0,65.03,16.33,1.57,3.46,0.3883762431227384,66.9997947938369,231.89330646552006,220,593,442.0,-9.9,-39.0,BA_Canudos
20170511,25.72,32.85,20.43,0.0,61.62,18.0,1.46,3.63,0.3886673280812668,67.00127361936006,230.73878238387377,220,593,442.0,-9.9,-39.0,BA_Canudos
20170512,24.93,31.76,20.07,0.03,65.84,17.82,1.15,3.98,0.3889584130397953,66.93378188802798,229.6756864193725,220,593,442.0,-9.9,-39.0,BA_Canudos
20170513,25.3,32.09,19.96,0.12,67.42,12.88,1.03,3.42,0.38924949799832376,66.93925108935996,229.23499525336283,220,593,442.0,-9.9,-39.0,BA_Canudos
20170514,26.25,33.18,20.5,0.14,63.64,17.16,1.04,2.38,0.3895405829568522,66.91652988124714,230.30161774858007,220,593,442.0,-9.9,-39.0,BA_Canudos
20170515,27.47,34.59,20.7,0.0,57.86,19.48,1.01,1.6,0.38983166791538065,66.92482227241165,230.63529831332357,220,593,442.0,-9.9,-39.0,BA_Canudos
20170516,29.03,36.64,21.64,0.0,50.39,20.31,1.04,2.09,0.3901227528739091,66.95461954207958,230.6406286687035,220,593,442.0,-9.9,-39.0,BA_Canudos
20170517,28.02,35.54,21.8,0.0,57.41,20.51,0.76,3.1,0.39041383783243755,66.966082218668,229.99300091925213,220,593,442.0,-9.9,-39.0,BA_Canudos
20170518,26.69,33.54,21.84,0.34,65.58,15.01,0.52,3.59,0.390704922790966,67.00473164436859,230.95985823871615,220,593,442.0,-9.9,-39.0,BA_Canudos
20170519,25.46,32.22,21.54,2.34,73.36,10.7,0.36,3.52,0.39099600774949445,66.9690201724941,231.71743392626163,220,593,442.0,-9.9,-39.0,BA_Canudos
20170520,25.54,32.52,21.17,1.55,74.51,16.74,0.38,3.78,0.3912870927080229,66.99950691942821,231.51621309119037,220,593,442.0,-9.9,-39.0,BA_Canudos
20170521,25.56,32.17,21.36,0.55,72.44,13.38,0.41,4.44,0.39157817766655134,66.98064157068853,230.1242678236089,220,593,442.0,-9.9,-39.0,BA_Canudos
20170522,25.64,32.24,21.15,1.72,73.2,13.17,0.41,4.11,0.3918692626250798,67.02223684034065,230.28186801573324,220,593,442.0,-9.9,-39.0,BA_Canudos
20170523,23.76,27.85,21.29,21.16,88.82,10.89,0.22,3.0,0.3921603475836083,67.02050045143007,231.98001998026214,220,593,442.0,-9.9,-39.0,BA_Canudos
20170524,24.09,29.43,20.72,3.41,80.03,13.62,2.03,3.88,0.3924514325421367,67.04067200967944,231.6312516102836,220,593,442.0,-9.9,-39.0,BA_Canudos
20170525,23.79,29.76,19.97,2.07,75.58,16.81,2.44,4.26,0.3927425175006652,67.02801925704529,232.46698377749541,220,593,442.0,-9.9,-39.0,BA_Canudos
20170526,23.54,29.54,19.26,0.62,75.75,16.28,2.37,4.33,0.3930336024591936,66.99329473396732,231.04647568699576,220,593,442.0,-9.9,-39.0,BA_Canudos
20170527,23.92,30.13,20.34,4.52,80.74,11.98,1.91,4.03,0.3933246874177221,66.96201277449792,232.604421589554,220,593,442.0,-9.9,-39.0,BA_Canudos
20170528,23.63,29.45,19.5,1.4,75.02,12.49,2.24,4.24,0.39361577237625056,66.95932211900471,230.8816529603599,220,593,442.0,-9.9,-39.0,BA_Canudos
20170529,22.7,28.9,18.42,0.75,70.04,15.25,2.52,3.73,0.393906857334779,66.97979853883345,232.12198745767955,220,593,442.0,-9.9,-39.0,BA_Canudos
20170530,22.83,29.71,17.28,1.08,75.82,14.83,2.31,3.22,0.39419794229330746,67.000528933294,232.45133603531394,220,593,442.0,-9.9,-39.0,BA_Canudos
20170531,23.34,29.1,19.58,6.68,81.67,12.64,1.53,2.98,0.3944890272518359,66.98365205295384,234.4648342410321,220,593,442.0,-9.9,-39.0,BA_Canudos
20170601,23.69,28.67,20.06,1.42,83.5,14.76,1.33,2.46,0.39478011221036435,66.9656549735044,233.42767062941434,220,593,442.0,-9.9,-39.0,BA_Canudos
20170602,25.25,31.03,20.98,0.53,77.93,15.37,2.68,2.85,0.39507119716889283,66.9472701673824,232.24235955306062,220,593,442.0,-9.9,-39.0,BA_Canudos
20170603,24.71,30.48,20.32,0.52,75.37,14.3,2.68,3.66,0.39536228212742125,66.97688677051336,230.50678635877162,220,593,442.0,-9.9,-39.0,BA_Canudos
20170604,23.53,29.84,19.78,1.14,75.62,15.5,2.18,3.94,0.3956533670859497,66.97966001387458,229.85848358904195,220,593,442.0,-9.9,-39.0,BA_Canudos
